AdmArea;District;Address
Северо-Восточный административный округ;Ярославский район;город Москва, улица Егора Абакумова, дом 9
Центральный административный округ;Таганский район;город Москва, улица Талалихина, дом 2/1, корпус 1
Центральный административный округ;Таганский район;город Москва, Абельмановская улица, дом 6
Северо-Восточный административный округ;район Лианозово;город Москва, Абрамцевская улица, дом 1
Северо-Восточный административный округ;район Лианозово;город Москва, Абрамцевская улица, дом 9, корпус 1
Северо-Восточный административный округ;район Лианозово;город Москва, Абрамцевская улица, дом 15, корпус 1
Центральный административный округ;район Арбат;город Москва, переулок Сивцев Вражек, дом 6/2
Юго-Восточный административный округ;район Лефортово;город Москва, Авиамоторная улица, дом 8, строение 1
Юго-Восточный административный округ;район Лефортово;город Москва, Авиамоторная улица, дом 8, строение 1
Юго-Восточный административный округ;район Лефортово;город Москва, Авиамоторная улица, дом 8, строение 1
Юго-Восточный административный округ;район Лефортово;город Москва, Авиамоторная улица, дом 47
Юго-Восточный административный округ;район Лефортово;город Москва, Авиамоторная улица, дом 49/1
Юго-Восточный административный округ;район Лефортово;город Москва, Авиамоторная улица, дом 51
Новомосковский административный округ;поселение Щербинка;город Москва, улица Авиаторов, дом 14
Новомосковский административный округ;поселение Щербинка;город Москва, улица Авиаторов, дом 16
Новомосковский административный округ;поселение Щербинка;город Москва, улица Авиаторов, дом 18
Юго-Западный административный округ;район Зюзино;город Москва, Азовская улица, дом 3
Юго-Западный административный округ;район Зюзино;город Москва, Азовская улица, дом 4
Северный административный округ;район Коптево;город Москва, Большая Академическая улица, дом 65
Центральный административный округ;район Арбат;город Москва, Филипповский переулок, дом 15/5
Восточный административный округ;район Гольяново;город Москва, Алтайская улица, дом 33/7
Северо-Восточный административный округ;район Отрадное;город Москва, Алтуфьевское шоссе, дом 14
Северо-Восточный административный округ;район Отрадное;город Москва, Алтуфьевское шоссе, дом 14
Северо-Восточный административный округ;район Отрадное;город Москва, Алтуфьевское шоссе, дом 42Б
Северо-Восточный административный округ;Алтуфьевский район;город Москва, Алтуфьевское шоссе, дом 56
Северо-Восточный административный округ;Алтуфьевский район;город Москва, Алтуфьевское шоссе, дом 56
Северо-Восточный административный округ;район Бибирево;город Москва, Алтуфьевское шоссе, дом 102Б
Северо-Восточный административный округ;район Свиблово;город Москва, улица Амундсена, дом 10
Северо-Восточный административный округ;Лосиноостровский район;город Москва, Анадырский проезд, дом 55
Северный административный округ;район Западное Дегунино;город Москва, Ангарская улица, дом 1, корпус 2
Северный административный округ;Дмитровский район;город Москва, Ангарская улица, дом 39
Южный административный округ;район Нагатинский Затон;город Москва, проспект Андропова, дом 17, корпус 2
Южный административный округ;район Нагатино-Садовники;город Москва, проспект Андропова, дом 26
Южный административный округ;район Нагатино-Садовники;город Москва, проспект Андропова, дом 30
Южный административный округ;район Нагатинский Затон;город Москва, проспект Андропова, дом 35А
Южный административный округ;район Нагатино-Садовники;город Москва, проспект Андропова, дом 38, корпус 2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 4, строение 1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 4, строение 1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 6/2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 6/2
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 23, строение 1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 23, строение 1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 25/36
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 25/36
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 29
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 29
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 31
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 32
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 32
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 36/2, строение 1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 36/2, строение 1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 36/2, строение 1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 36/2, строение 1
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 45/24
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 45/24
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 47/23
Центральный административный округ;район Арбат;город Москва, улица Арбат, дом 47/23
Западный административный округ;район Фили-Давыдково;город Москва, улица Артамонова, дом 7
Центральный административный округ;Мещанский район;город Москва, Астраханский переулок, дом 1/15
Центральный административный округ;Мещанский район;город Москва, Астраханский переулок, дом 5/9
Северо-Западный административный округ;район Южное Тушино;город Москва, Аэродромная улица, дом 9
Восточный административный округ;район Сокольники;город Москва, Бабаевская улица, дом 3
Юго-Западный административный округ;Академический район;город Москва, улица Ивана Бабушкина, дом 15, корпус 1-2
Юго-Западный административный округ;Академический район;город Москва, улица Ивана Бабушкина, дом 17, корпус 1
Восточный административный округ;район Гольяново;город Москва, Байкальская улица, дом 29
Восточный административный округ;район Гольяново;город Москва, Байкальская улица, дом 31
Южный административный округ;район Царицыно;город Москва, Бакинская улица, дом 29
Юго-Западный административный округ;район Зюзино;город Москва, Балаклавский проспект, дом 48, корпус 1
Юго-Западный административный округ;район Зюзино;город Москва, Балаклавский проспект, дом 54
Северный административный округ;район Аэропорт;город Москва, 1-й Балтийский переулок, дом 3/25
Западный административный округ;район Филёвский Парк;город Москва, улица Барклая, дом 16, корпус 1
Центральный административный округ;Басманный район;город Москва, Новая Басманная улица, дом 12, строение 2
Центральный административный округ;Басманный район;город Москва, Бауманская улица, дом 33/2, строение 1
Центральный административный округ;Басманный район;город Москва, Бауманская улица, дом 35/1
Центральный административный округ;район Замоскворечье;город Москва, Татарская улица, дом 14
Северный административный округ;Савёловский район;город Москва, Башиловская улица, дом 3, корпус 1
Северный административный округ;Савёловский район;город Москва, Башиловская улица, дом 19
Северный административный округ;Савёловский район;город Москва, Башиловская улица, дом 21
Северный административный округ;район Беговой;город Москва, Беговая улица, дом 7
Северный административный округ;район Беговой;город Москва, Беговая улица, дом 17, корпус 1
Северный административный округ;район Беговой;город Москва, Беговая улица, дом 28
Северо-Западный административный округ;район Хорошёво-Мнёвники;город Москва, улица Демьяна Бедного, дом 4
Юго-Восточный административный округ;район Люблино;город Москва, Белореченская улица, дом 13, корпус 1
Юго-Восточный административный округ;район Люблино;город Москва, Белореченская улица, дом 17
Западный административный округ;район Дорогомилово;город Москва, Бережковская набережная, дом 8
Западный административный округ;район Дорогомилово;город Москва, Бережковская набережная, дом 14
Северо-Западный административный округ;район Щукино;город Москва, улица Берзарина, дом 8
Северный административный округ;Бескудниковский район;город Москва, Бескудниковский бульвар, дом 40, корпус 3
Северный административный округ;Бескудниковский район;город Москва, Бескудниковский бульвар, дом 57, корпус 1
Северо-Восточный административный округ;район Отрадное;город Москва, улица Бестужевых, дом 23
Северо-Восточный административный округ;Алтуфьевский район;город Москва, Бибиревская улица, дом 7, корпус 1
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 4, корпус 1
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 4, корпус 2
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 9
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 12
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 13
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 16
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 19
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 19
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 21
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 22, корпус 1
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 28
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Бирюзова, дом 28
Восточный административный округ;район Богородское;город Москва, Бойцовая улица, дом 17, корпус 1
Юго-Западный административный округ;район Зюзино;город Москва, Болотниковская улица, дом 47, корпус 1
Юго-Западный административный округ;район Северное Бутово;город Москва, Коктебельская улица, дом 11, строение 3
Северо-Восточный административный округ;район Марфино;город Москва, Ботаническая улица, дом 11
Северный административный округ;район Беговой;город Москва, 1-й Боткинский проезд, дом 2/6
Северо-Западный административный округ;район Щукино;город Москва, улица Академика Бочвара, дом 7, корпус 1
Северо-Западный административный округ;район Щукино;город Москва, улица Академика Бочвара, дом 7, корпус 1
Северо-Восточный административный округ;Останкинский район;город Москва, улица Бочкова, дом 5
Центральный административный округ;Тверской район;город Москва, 2-я Брестская улица, дом 24/15
Центральный административный округ;Пресненский район;город Москва, 2-я Брестская улица, дом 43
Центральный административный округ;Басманный район;город Москва, Бригадирский переулок, дом 3-5
Центральный административный округ;Басманный район;город Москва, Бригадирский переулок, дом 3-5
Центральный административный округ;Басманный район;город Москва, Бригадирский переулок, дом 3-5
Центральный административный округ;Пресненский район;город Москва, Большая Бронная улица, дом 2/6
Центральный административный округ;Тверской район;город Москва, Большая Бронная улица, дом 27/4
Центральный административный округ;Тверской район;город Москва, Большая Бронная улица, дом 27/4
Центральный административный округ;Тверской район;город Москва, Большая Бронная улица, дом 27/4
Центральный административный округ;Тверской район;город Москва, Большая Бронная улица, дом 29
Центральный административный округ;Пресненский район;город Москва, Малая Бронная улица, дом 4
Центральный административный округ;Пресненский район;город Москва, Малая Бронная улица, дом 4
Центральный административный округ;Пресненский район;город Москва, Малая Бронная улица, дом 10, строение 1
Центральный административный округ;Пресненский район;город Москва, Малая Бронная улица, дом 10, строение 1
Центральный административный округ;Пресненский район;город Москва, Малая Бронная улица, дом 20, строение 1
Центральный административный округ;Пресненский район;город Москва, Малая Бронная улица, дом 20, строение 1
Центральный административный округ;Пресненский район;город Москва, Малая Бронная улица, дом 20А
